scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
Baroda BNP Paribas Conservative Hybrid Fund,300,1000,0.78,501,10,Pratish Krishnan,2.74,0.64,3.7,0.58,1.29,4,Baroda BNP Paribas Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7,331,283,254,366,221,274,119,384,315
Baroda BNP Paribas Corporate Bond Fund,300,5000,0.32,17,10,Mayank Prakash,0.63,0.69,2.22,0.9,0.43,2,Baroda BNP Paribas Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4,277,147,17,72,234,204,452,77,600
Baroda BNP Paribas Credit Risk Fund,500,5000,0.78,179,8,Prashant Pimple,1.9,1.72,5.8,-3.29,1.06,4,Baroda BNP Paribas Mutual Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6,631,299,245,216,370,311,2,268,315
Baroda BNP Paribas Dynamic Bond Fund,300,1000,0.71,115,10,Mayank Prakash,0.56,0.91,2.65,1.36,0.49,3,Baroda BNP Paribas Mutual Fund,2,Debt,Dynamic Bond,5.2,5.7,6.6,496,159,153,65,256,231,720,97,350
Baroda BNP Paribas ELSS Fund,500,500,1.12,651,10,Sanjay Chawla,2.92,-0.94,14.42,0.83,1.29,6,Baroda BNP Paribas Mutual Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5,68,419,393,409,85,442,332,384,165
Baroda BNP Paribas Equity Savings Fund,500,5000,1.45,250,4,Pratish Krishnan,2.42,0.25,4.91,0.73,1.12,4,Baroda BNP Paribas Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.7,9.8,,331,289,407,301,164,300,216,296,75
Baroda BNP Paribas Focused Fund,300,5000,0.67,299,5,Sanjay Chawla,2.96,-1.21,14.73,0.85,1.27,6,Baroda BNP Paribas Mutual Fund,3,Equity,Focused Funds,0.5,23.1,9.9,144,471,365,419,71,455,364,364,372
Baroda BNP Paribas Gilt Fund,500,5000,0.14,138,10,Mayank Prakash,0.34,0.07,2.89,0.66,0.28,3,Baroda BNP Paribas Mutual Fund,2,Debt,Gilt Mutual Funds,3.7,4.9,6.8,331,95,171,45,147,241,170,53,764
Baroda BNP Paribas India Consumption Fund,300,5000,0.81,880,5,Shiv Chanani,3.08,2.41,13.62,0.71,1.38,6,Baroda BNP Paribas Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,,496,473,407,454,445,418,204,454,299
Baroda BNP Paribas Large Cap Fund,300,5000,0.94,1347,10,Jitendra Sriram,2.71,-0.18,14.57,0.86,1.32,6,Baroda BNP Paribas Mutual Fund,4,Equity,Large Cap Mutual Funds,3,23.5,12.8,288,477,518,360,134,446,385,418,249
Baroda BNP Paribas Liquid Fund,500,5000,0.19,6686,10,Vikram Pamnani,4.11,1.32,0.38,0.72,0.93,2,Baroda BNP Paribas Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4,631,57,63,707,311,40,210,198,725
Baroda BNP Paribas Low Duration Fund,300,5000,0.39,175,10,Mayank Prakash,2.55,3.17,0.96,1.28,1.51,3,Baroda BNP Paribas Mutual Fund,3,Debt,Low Duration Funds,5,6,6.5,470,179,144,324,537,129,709,561,530
Baroda BNP Paribas Medium Duration Fund,300,5000,0.69,37,9,Mayank Prakash,0.42,0.42,2.34,1.16,0.32,3,Baroda BNP Paribas Mutual Fund,2,Debt,Medium Duration Funds,3.9,5,3.5,352,105,12,48,178,212,687,56,359
Baroda BNP Paribas Mid Cap Fund,300,5000,0.59,1192,10,Shiv Chanani,3.35,1.31,15.92,0.86,1.67,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6,258,656,570,542,309,537,385,652,422
Baroda BNP Paribas Money Market Fund,500,5000,0.2,111,4,Vikram Pamnani,0.91,1.72,0.46,1.15,0.38,2,Baroda BNP Paribas Mutual Fund,2,Debt,Money Market Funds,5,4.1,,470,39,407,99,370,64,686,64,714
Baroda BNP Paribas Multi Cap Fund,500,5000,1.1,1628,10,Sanjay Chawla,3.05,2.11,16.27,0.9,1.44,6,Baroda BNP Paribas Mutual Fund,2,Equity,Multi Cap Funds,-1.7,28.8,12.3,81,624,493,439,415,573,452,513,172
Baroda BNP Paribas Overnight Fund,500,5000,0.08,423,4,Vikram Pamnani,0.32,0.62,0.34,0.45,0.05,1,Baroda BNP Paribas Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,40,215,5,54,31,795
Baroda BNP Paribas Short Duration Fund,500,5000,0.37,235,10,Prashant Pimple,1.23,3.6,1.75,1.55,0.88,3,Baroda BNP Paribas Mutual Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7,383,159,157,140,561,168,734,176,550
Baroda BNP Paribas Ultra Short Duration Fund,500,5000,0.22,560,5,Vikram Pamnani,3.14,2.59,0.53,1.24,1.77,2,Baroda BNP Paribas Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,,631,112,407,475,468,72,702,690,687
BHARAT Bond FOF – April 2025 – Direct Growth,500,1000,0.06,3912,3,Dhawal Dalal,-,-,-,-,-,2,Edelweiss Mutual Fund,2,Other,FoFs Domestic,2.6,,,269,407,407,407,407,407,407,407,806
Canara Robeco Bluechip Equity Fund,1000,5000,0.48,8672,10,Shridatta Bhandwaldar,3.07,0.16,14.97,0.89,1.35,6,Canara Robeco Mutual Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4,213,489,594,449,154,471,432,434,481
Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,1069,10,Avnish Jain,3.41,2.59,3.98,0.6,1.74,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4,344,304,346,562,468,280,131,675,437
Canara Robeco Consumer Trends Fund,1000,5000,1,935,10,Shridatta Bhandwaldar,3.47,4.63,14.66,0.74,1.48,6,Canara Robeco Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1,709,581,609,589,610,451,227,545,216
Canara Robeco Corporate Bond Fund,1000,5000,0.39,191,9,Avnish Jain,1.35,1.33,1.81,0.77,0.85,2,Canara Robeco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4,6,6.7,362,179,157,151,313,175,256,169,530
Canara Robeco Dynamic Bond Fund,1000,5000,0.66,116,10,Kunal Jain,0.64,0.74,2.17,1.02,0.47,3,Canara Robeco Mutual Fund,3,Debt,Dynamic Bond,4.7,5.3,6.6,436,130,153,74,237,199,653,88,378
Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,15261,10,Shridatta Bhandwaldar,3.36,2.48,15.69,0.89,1.47,6,Canara Robeco Mutual Fund,3,Equity,Large & Mid Cap Funds,-0.2,27,12.6,119,589,507,545,453,511,432,533,413
Canara Robeco Equity Hybrid Fund,1000,5000,0.63,8235,10,Shridatta Bhandwaldar,3.25,1.49,11.27,0.78,1.4,6,Canara Robeco Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2,226,415,485,505,348,368,266,475,396
Canara Robeco Equity Tax Saver Fund,500,500,0.64,4685,10,Vishal Mishra,3.08,2.7,15.37,0.87,1.51,6,Canara Robeco Mutual Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5,184,605,617,454,487,489,400,561,389
Canara Robeco Flexi Cap Fund,1000,5000,0.55,8630,10,Shridatta Bhandwaldar,2.84,0.32,14.9,0.87,1.39,6,Canara Robeco Mutual Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8,99,505,578,387,169,465,400,462,451
Canara Robeco Gilt Fund,1000,5000,0.54,80,10,Kunal Jain,0.55,0.47,2.52,0.55,0.43,3,Canara Robeco Mutual Fund,3,Debt,Gilt Mutual Funds,4.3,5.1,7,395,112,190,63,182,226,102,77,452
Canara Robeco Income Fund,1000,5000,0.75,125,10,Avnish Jain,0.69,0.87,2.74,1.32,0.45,3,Canara Robeco Mutual Fund,3,Debt,Medium to Long Duration Funds,3.9,5.8,7,352,165,190,79,250,234,715,82,333
Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,247,10,Shridatta Bhandwaldar,3.99,10.9,16.53,0.59,1.8,6,Canara Robeco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2,784,725,485,687,748,599,124,702,100
Canara Robeco Liquid Fund,1000,5000,0.11,2548,10,Kunal Jain,3.04,1.07,0.39,0.66,0.47,2,Canara Robeco Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1,595,39,37,437,276,55,170,88,776
Canara Robeco Overnight Fund,0,5000,0.1,216,4,Suman Prasad,0.03,0.61,0.34,0.45,0,1,Canara Robeco Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,,520,13,407,22,211,5,54,21,778
Canara Robeco Savings Fund,1000,5000,0.31,1003,10,Kunal Jain,2.24,2.64,0.77,1.33,1.12,2,Canara Robeco Mutual Fund,2,Debt,Low Duration Funds,5,5.2,5.9,470,124,98,262,476,118,717,296,609
Canara Robeco Short Duration Fund,1000,5000,0.47,520,10,Suman Prasad,1.68,3.98,1.59,1.95,0.87,2,Canara Robeco Mutual Fund,3,Debt,Short Duration Funds,4.1,5.9,6.5,372,169,144,183,583,149,749,175,486
Canara Robeco Small Cap Fund,1000,5000,0.47,4831,4,Shridatta Bhandwaldar,4.62,12.23,17.75,0.79,2.17,6,Canara Robeco Mutual Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,,113,790,407,760,755,685,281,782,486
Canara Robeco Ultra Short Term Fund,500,500,0.4,565,10,Suman Prasad,2.11,1.82,0.51,1.04,0.84,2,Canara Robeco Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3,496,70,45,239,384,68,662,167,519
DSP Arbitrage Fund,500,500,0.35,1238,5,Kedar Karnik,1.08,1.45,0.72,0.64,0.82,1,DSP Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4,595,79,63,125,344,105,157,159,570
DSP Banking & Psu Debt Fund,500,500,0.33,2463,10,Vikram Chopra,1.59,4.78,1.87,2.4,0.84,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4,6.4,6.9,362,207,179,170,620,179,759,167,590
DSP Bond Fund,500,500,0.39,333,10,Vivek Ramakrishnan,0.98,1.17,2.36,1.02,0.62,3,DSP Mutual Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9,344,187,34,108,290,216,653,116,530
DSP Corporate Bond Fund,500,500,0.25,2065,5,Vivek Ramakrishnan,0.59,0.76,2.16,0.73,0.45,3,DSP Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.6,5.6,,269,147,407,67,239,197,216,82,665
DSP Credit Risk Fund,500,500,0.38,210,10,Laukik Bagwe,1.23,2.84,4.32,0.26,0.58,4,DSP Mutual Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5,758,223,20,140,504,288,21,110,543
DSP Dynamic Asset Allocation Fund,500,500,0.71,3770,9,Atul Bhole,2.7,-0.92,8.62,0.53,1.03,5,DSP Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3,213,321,293,357,87,344,86,257,350
DSP Equity & Bond Fund,500,500,0.78,7358,10,Atul Bhole,2.7,0.51,12.7,0.83,1.25,6,DSP Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7,149,399,402,357,188,401,332,350,315
DSP Equity Opportunities Fund,500,500,0.91,7110,10,Rohit Singhania,2.87,1.89,16.6,0.93,1.4,6,DSP Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7,298,675,454,394,392,607,512,475,260
DSP Equity Savings Fund,500,500,0.4,535,7,Kedar Karnik,3.55,4.83,6.37,0.88,1.75,4,DSP Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4,14.6,7.8,362,352,264,612,624,319,417,680,519
DSP Flexi Cap Fund,500,500,0.76,7725,10,Atul Bhole,2.56,-1.47,16.67,0.93,1.23,6,DSP Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12,123,464,470,327,64,622,512,339,327
DSP Floater Fund,500,500,0.24,983,2,Kedar Karnik,-,-,-,-,-,2,DSP Mutual Fund,1,Debt,Floater Mutual Funds,4.4,,,404,407,407,407,407,407,407,407,675
DSP Focus Fund,500,500,1.08,1784,10,Vinit Sambre,2.4,-2.77,16.44,0.9,1.11,6,DSP Mutual Fund,2,Equity,Focused Funds,-1.7,20.4,8.9,81,419,321,293,38,593,452,292,181
DSP Global Allocation Fund,500,500,1.43,70,9,Jay Kothari,1.15,-,10.88,-,0.67,6,DSP Mutual Fund,0,Other,FoFs Overseas,0.6,12.6,7.9,149,328,269,131,407,360,407,128,81
DSP G-Sec Fund,500,500,0.54,430,10,Vikram Chopra,0.93,1.15,2.85,0.62,0.64,3,DSP Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6,404,169,306,103,289,239,146,119,452
DSP Healthcare Fund,500,500,1.04,1197,4,Vinit Sambre,2.42,6.84,17.83,0.78,1.19,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-3.6,26.9,,51,586,407,301,685,691,266,324,196
DSP India T.I.G.E.R. Fund,500,500,1.34,1797,10,Rohit Singhania,3.58,10.78,17.58,0.64,1.78,6,DSP Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9,799,740,462,622,746,677,157,695,95
DSP Liquidity Fund,500,500,0.15,13582,10,Kedar Karnik,4.19,1.29,0.37,0.73,0.83,3,DSP Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,720,304,34,216,163,751
DSP Low Duration Fund,500,500,0.3,3340,8,Karan Mundhara,3.06,2.97,0.83,1.35,1.4,2,DSP Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3,487,143,130,444,515,123,719,475,619
DSP Midcap Fund,500,500,0.77,13213,10,Vinit Sambre,2.26,-6.18,15.81,0.85,1.2,6,DSP Mutual Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5,50,428,351,264,7,524,364,331,322
DSP Natural Resources & New Energy – Direct Growth,500,500,1.21,673,10,Rohit Singhania,2.31,21.48,23.46,0.43,1.39,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12,102,778,470,277,771,779,42,462,137
DSP Nifty 50 Equal Weight Index Fund,500,500,0.4,498,5,Anil Ghelani,3.22,3.52,17.4,1.01,1.51,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7,244,662,402,490,557,668,648,561,519
DSP Nifty 50 Index Fund,500,500,0.24,271,4,Anil Ghelani,3.43,-0.76,16.67,0.99,1.3,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,,164,545,407,571,96,622,610,397,675
DSP Nifty Next 50 Index Fund,500,500,0.32,227,4,Anil Ghelani,1.68,-4.59,17.93,0.97,0.97,6,DSP Mutual Fund,2,Other,Index Funds,-6.3,21.8,,26,439,407,183,23,693,577,221,600
DSP Overnight Fund,500,500,0.06,2754,4,Kedar Karnik,0.73,0.67,0.34,0.47,0.12,1,DSP Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,83,227,5,64,39,806
DSP Regular Savings Fund,500,500,0.51,199,10,Vikram Chopra,2.68,2.26,4.28,0.61,1.55,3,DSP Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3,10.8,6,288,297,107,353,431,285,140,592,464
DSP Savings Fund,500,500,0.25,3903,10,Kedar Karnik,1.82,3.15,0.81,1.65,1.15,3,DSP Mutual Fund,2,Debt,Money Market Funds,5,5.3,5.9,470,130,98,206,536,122,740,308,665
DSP Short Term Fund,500,500,0.3,2821,10,Laukik Bagwe,1.75,4.96,1.67,2.51,0.96,2,DSP Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7,372,187,157,198,636,157,762,215,619
DSP Small Cap Fund,500,500,0.9,8953,10,Vinit Sambre,3.38,4.28,18.67,0.86,1.78,6,DSP Mutual Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5,155,756,504,553,593,718,385,695,267
DSP Strategic Bond Fund,500,500,0.47,481,10,Vikram Chopra,0.48,0.84,3,1.36,0.41,2,DSP Mutual Fund,3,Debt,Dynamic Bond,3,5.4,7.3,288,136,219,57,248,252,720,73,486
DSP Tax Saver Fund,500,500,0.81,10129,10,Rohit Singhania,3.19,2.57,16.3,0.94,1.51,6,DSP Mutual Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3,226,624,550,485,463,576,527,561,299
DSP Top 100 Equity Fund,500,500,1.27,2605,10,Abhishek Singh,2.98,-1.79,15.88,0.91,1.18,6,DSP Mutual Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9,324,439,321,420,55,533,472,318,116
DSP Ultra Short Fund,500,500,0.3,2736,10,Kedar Karnik,3.54,2.39,0.52,1.19,1.54,2,DSP Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5,575,95,77,611,443,70,693,586,619
DSP US Flexible Equity Fund,500,500,1.52,770,10,Jay Kothari,1.95,-,16.4,-,1.1,6,DSP Mutual Fund,0,Other,FoFs Overseas,2.2,23.8,13.6,244,479,570,222,407,587,407,287,62
DSP World Gold Fund,500,500,1.81,777,10,Jay Kothari,1.11,-,36.51,-,0.4,6,DSP Mutual Fund,0,Other,FoFs Overseas,-9,14.8,10.2,14,355,379,129,407,789,407,72,15
DSP World Mining Fund,500,500,1.5,188,10,Jay Kothari,1.68,-,28.33,-,1.08,6,DSP Mutual Fund,0,Other,FoFs Overseas,-5.4,37.1,15,35,745,608,183,407,788,407,275,65
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13,689,500,534,666,655,379,281,669,560
Edelweiss Arbitrage Fund,500,5000,0.37,5393,9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5,5.7,656,105,89,173,383,105,152,406,550
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780,10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12,281,397,470,523,413,350,175,545,464
Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,3,Edelweiss Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9,315,239,269,87,668,273,767,105,655
Edelweiss Equity Savings Fund,500,5000,0.7,258,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9,404,317,329,490,445,306,281,575,353
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83,9,Bhavesh Jain,1.64,-,19.12,-,0.93,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,9.2,25.2,7.6,746,522,245,177,407,730,407,198,65
Edelweiss Flexi Cap Fund,500,5000,0.56,1056,8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1,232,602,480,562,394,545,492,524,445
Edelweiss Govt Securities Fund,500,5000,0.66,119,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2,395,232,288,174,381,235,140,176,378
Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897,10,Bhavesh Jain,0.6,-,25.75,-,0.3,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,-4.1,9,6.1,45,281,112,69,407,786,407,55,78
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711,10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2,184,609,545,615,497,531,452,533,413
Edelweiss Large Cap Fund,500,5000,0.93,399,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26,12.8,457,554,518,505,265,516,512,475,254
Edelweiss Liquid Fund,500,5000,0.15,1543,10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,595,57,63,787,346,40,294,275,751
Edelweiss Long Term Equity Fund,500,500,0.69,209,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2,164,534,379,480,211,519,452,462,359
Edelweiss Mid Cap Fund,500,5000,0.57,2530,10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14,457,732,582,668,428,679,562,672,437
Edelweiss Money Market Fund,500,5000,0.26,346,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3,457,83,219,231,460,83,729,257,655
Edelweiss Overnight Fund,500,5000,0.1,480,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,,520,13,407,27,218,2,64,23,778
Edelweiss Recently Listed IPO Fund,500,5000,0.61,859,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9,5,489,408,174,146,688,332,282,408
Edelweiss Small Cap Fund,500,5000,0.6,1458,4,Sahil Shah,4.17,8.58,17.99,0.81,1.98,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3,42.5,,288,767,407,718,712,695,309,758,413
Edelweiss US Value Equity Offshore Fund,500,5000,1.43,90,10,Bhavesh Jain,2.17,-,16.38,-,1.03,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,2,23.8,11.5,234,479,442,250,407,585,407,257,81
Franklin Build India Fund,500,5000,1.3,1184,10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16,36.1,13.3,800,738,550,480,703,728,204,623,104
Franklin India Banking & PSU Debt Fund,500,5000,0.16,712,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2,383,187,207,121,568,165,747,133,745
Franklin India Bluechip Fund,500,5000,1.01,6205,10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1,25.1,9.7,96,517,358,363,235,639,492,374,210
Franklin India Corporate Debt Fund,500,10000,0.21,748,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7,404,203,190,180,365,174,106,250,700
Franklin India Debt Hybrid Fund,500,10000,0.57,246,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7,487,289,190,420,302,279,124,496,437
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103,10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2,667,392,335,212,711,353,24,462,489
Franklin India Equity Advantage Fund,500,5000,1.37,2556,10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2,99,605,335,562,517,676,562,503,91
Franklin India Equity Hybrid Fund,500,5000,1.2,1347,10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11,520,457,417,497,553,391,294,561,141
Franklin India Equity Savings Fund,500,5000,0.71,153,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14,,446,345,407,431,545,322,527,575,350
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880,10,Sandeep Manam,0.95,-,23.08,-,0.5,6,Franklin Templeton Mutual Fund,0,Other,FoFs Overseas,-12.1,17.4,11.6,7,378,449,105,407,776,407,100,346
Franklin India Flexi Cap Fund,500,5000,1.1,9989,10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12,344,669,470,510,624,613,512,623,172
Franklin India Floating Rate Fund,500,1000,0.21,311,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2,656,147,122,333,436,124,236,609,700
Franklin India Focused Equity Fund,500,5000,1.16,8022,10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9,487,662,528,478,561,715,591,503,156
Franklin India G-Sec Fund,500,10000,0.57,121,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3,315,39,130,23,120,213,84,27,437
Franklin India Liquid Fund,500,10000,0.13,1511,10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4,595,45,63,746,317,40,227,185,768
Franklin India Multi-Asset Solution Fund,500,5000,0.44,45,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,FoFs Domestic,4.1,8.7,5.3,372,279,45,45,645,403,15,67,497
Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6,164,534,449,574,94,606,610,397,675
Franklin India Opportunities Fund,500,5000,1.79,657,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31,11.5,722,665,442,582,614,617,492,609,20
Franklin India Overnight Fund,500,5000,0.1,152,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,,520,6,407,7,187,15,31,8,778
Franklin India Prima Fund,500,5000,1.06,7359,10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10,418,578,370,444,25,680,562,440,187
